"","x","y","temp"
"100",16.1862551097993,17.6706233025533,52.5251461116408
"101",20.6264372883521,18.5912195940835,50.50494818427
"102",24.4268495066381,19.0972381634699,48.5624501771827
"103",27.4443685700335,19.1822913727805,46.6946636319064
"104",29.5759287104479,18.8588164067229,44.8987150306793
"105",30.7615296841063,18.1568023306399,43.1718413756531
"106",30.9852284929121,17.1217914623137,41.511385938128
"107",30.2741485130862,15.812271177269,39.9147941712769
"108",28.695626016378,14.2965947041139,38.379609780074
"109",26.3526916597818,12.6495849251967,36.9034709423788
"110",23.3781504061471,10.9489832646354,35.4841066753642
"111",19.9275750626117,9.27190634885837,34.1193333416964
"112",16.1715644482758,7.6914665246376,32.8070512900927
"113",12.2876361573991,6.27369908453987,31.5452416250891
"114",8.45212578191709,5.07492001908015,30.3319631010472
"115",4.83244986953966,4.13961435144948,29.1653491356223
"116",1.02074007978556,2.96980601738714,28.0436049380984
"117",-2.64619619817445,1.67111704963861,26.9650047481715
"118",-5.85024953179714,0.363138671845004,25.9278891809341
"119",-8.32640378814686,-0.838317585721323,24.9306626739751
"120",-9.88408685410632,-1.83129710802624,23.9717910326684
"121",-10.421129058676,-2.53616869243788,23.0497990698735
"122",-9.92938151731377,-2.90179494094349,22.1632683364168
"123",-8.49181924361025,-2.9089502033733,21.3108349388623
"124",-6.27171224335358,-2.57079023583498,20.4911874412137
"125",-3.49512552777999,-1.93044551353885,19.7030648473209
"126",-0.428549336410957,-1.05606126311674,18.9452546608855
"127",2.64617856786938,-0.0338202300626731,18.2165910200822
"128",5.45734079070586,1.04035835664292,17.5159529039252
"129",7.76693538060145,2.06966000398949,16.8422624076204
"130",10.0820892022416,3.40671520813383,16.1944830842503
"131",12.3045756707582,4.983337300529,15.5716183502407
"132",14.3398703296321,6.72072856043371,14.9727099521545
"133",16.1053459168857,8.53602646329987,14.3968364924563
"134",17.5334615031054,10.3461171250313,13.8431120119772
"135",18.5741631408239,12.0713131689664,13.3106846269011
"136",19.1964204000111,13.6387389088506,12.7987352181742
"137",19.3888642104213,14.9852847011274,12.3064761713213
"138",19.1595324249905,16.0600166477573,11.833150164732
"139",18.5347686521655,16.8259562463129,11.37802900455
"140",17.5573555233585,17.2611756759763,10.940412504375
"141",16.2839942278497,17.3591867011071,10.5196274080529
"142",14.7822666984582,17.1286331968282,10.115026353897
"143",13.1272344187941,16.5923276506616,9.72598687874714
"144",11.3978379385183,15.7856993955346,9.35191046033379
"145",9.67326366769738,14.7547456865135,8.9922215964748
"146",8.02943955888179,13.5535951710981,8.6463669196873
"147",6.53580938141229,12.2418061963203,8.31381434585317
"148",5.25251723903122,10.881529389408,7.99405225562805
"149",4.22811081244217,9.53466496067124,7.68658870733466
"150",3.49784474236511,8.26014039294861,7.39095068012948
"151",3.08263592363905,7.11142399778971,7.10668334627835
"152",2.98651157832464,6.13140230574297,6.83334937142149
"153",2.76347383049907,4.79367225311845,6.57052824175143
"154",2.39335574287953,3.17253092126492,6.31781561706868
"155",1.91448252672497,1.42197354587127,6.07482270871988
"156",1.37330684200582,-0.298501979998564,5.84117568146143
"157",0.819994098914197,-1.83818759933122,5.61651507832829
"158",0.30385159759502,-3.06812990482551,5.40049526762336
"159",-0.130990785076518,-3.8916760396633,5.19278391117631
"160",-0.449276774116435,-4.25176284196781,4.99306145305414
"161",-0.627394448324154,-4.13443108563308,4.80102062793667
"162",-0.655012586642964,-3.56839980679091,4.61636598840064
"163",-0.535481800936219,-2.62088982495863,4.43881345038523
"164",-0.285012555712479,-1.39020937518605,4.26808985613965
"165",0.0692503268241989,0.00411915405881702,4.10393255398043
"166",0.492044271568638,1.43272529915715,3.94608899421195
"167",0.943413772159444,2.7681887247684,3.79431634058842
"168",1.38241773014653,3.8962115138814,3.64838109671963
"169",1.77078120165194,4.72520244863744,3.5080587468458
"170",2.07617135913163,5.19348837031764,3.37313341042865
"171",2.27482354095921,5.27360811109992,3.24339751002755
"172",2.35331050137963,4.97342202145925,3.11865145194957
"173",2.30932367512436,4.33405142159699,2.99870331918227
"174",2.15145566485196,3.42497785461717,2.8833685761368
"175",1.89802139534422,2.33681772575784,2.77246978474692
"176",1.57506693995929,1.17251003721564,2.66583633148743
"177",1.21377309335045,0.0377560853323817,2.56330416489176
"178",0.847505577409674,-0.968416953626055,2.46471554316515
"179",0.508785838999108,-1.76214037921794,2.36991879150495
"180",0.226452878969605,-2.28152397419841,2.27876806875476
"181",0.0232592882783422,-2.49127368011095,2.19112314303342
"182",-0.0859030130247487,-2.38478404749399,2.10684917599368
"183",-0.0950149406280361,-1.98361788578543,2.02581651537854
"184",-0.00712028298729936,-1.33451953614728,1.94790049555628
"185",0.166291543569403,-0.504320263977609,1.8729812457272
"186",0.406624488624241,0.426733459486641,1.80094350550692
"187",0.690090658815715,1.37257922091296,1.73167644760281
"188",0.99000974315436,2.24915901797692,1.66507350731039
"189",1.27927531038232,2.98176190183622,1.60103221856768
"190",1.53276386205047,3.51125915305811,1.53945405631508
"191",1.72947619775549,3.79872421168572,1.48024428491835
"192",1.85423237157219,3.8280916886252,1.42331181242149
"193",1.8987877967135,3.60669616936791,1.36856905040527
"194",1.86229424422976,3.1637247966862,1.31593177923584
"195",1.75109024028447,2.54680046109345,1.265319018496
"196",1.57786515566582,1.81706909770778,1.2166529024
"197",1.36029486152278,1.04328226448158,1.16985856
"198",1.11928970533928,0.2954359711108,1.124864
"199",0.877024367710778,-0.36145567842646,1.0816
"200",0.654931892148902,-0.872907619058874,1.04
